,ts_code,ann_date,end_date,eps,dt_eps,total_revenue_ps,revenue_ps,capital_rese_ps,surplus_rese_ps,undist_profit_ps,extra_item,profit_dedt,gross_margin,current_ratio,quick_ratio,cash_ratio,ar_turn,ca_turn,fa_turn,assets_turn,op_income,ebit,ebitda,fcff,fcfe,current_exint,noncurrent_exint,interestdebt,netdebt,tangible_asset,working_capital,networking_capital,invest_capital,retained_earnings,diluted2_eps,bps,ocfps,retainedps,cfps,ebit_ps,fcff_ps,fcfe_ps,netprofit_margin,grossprofit_margin,cogs_of_sales,expense_of_sales,profit_to_gr,saleexp_to_gr,adminexp_of_gr,finaexp_of_gr,impai_ttm,gc_of_gr,op_of_gr,ebit_of_gr,roe,roe_waa,roe_dt,roa,npta,roic,roe_yearly,roa2_yearly,debt_to_assets,assets_to_eqt,dp_assets_to_eqt,ca_to_assets,nca_to_assets,tbassets_to_totalassets,int_to_talcap,eqt_to_talcapital,currentdebt_to_debt,longdeb_to_debt,ocf_to_shortdebt,debt_to_eqt,eqt_to_debt,eqt_to_interestdebt,tangibleasset_to_debt,tangasset_to_intdebt,tangibleasset_to_netdebt,ocf_to_debt,turn_days,roa_yearly,roa_dp,fixed_assets,profit_to_op,q_saleexp_to_gr,q_gc_to_gr,q_roe,q_dt_roe,q_npta,q_ocf_to_sales,basic_eps_yoy,dt_eps_yoy,cfps_yoy,op_yoy,ebt_yoy,netprofit_yoy,dt_netprofit_yoy,ocf_yoy,roe_yoy,bps_yoy,assets_yoy,eqt_yoy,tr_yoy,or_yoy,q_sales_yoy,q_op_qoq,equity_yoy
0,600519.SH,20190425,20190331,8.93,8.93,17.8957,17.2298,1.0945,10.7023,85.3396,-80290413.05,11301721758.13,19936561999.68,4.5107,3.7247,3.6859,,0.1631,1.4804,0.1406,15996222276.98,15888346669.74,,-12884092774.0,-12884092774.0,19301461786.1,,11264653262.41,-100419764215.2,119588787917.93,107307884951.31,6888120736.11,140586714661.18,120647596543.48,8.9329,98.7566,0.9467,96.0419,0.4543,12.648,-10.2564,-10.2564,55.0532,92.1113,7.8887,10.7969,53.0046,3.8767,6.5199,-0.0015,,28.8441,71.1559,70.676,9.4737,9.47,9.5415,9.9385,7.4535,8.8437,37.8948,39.754,19.1172,1.2364,1.3497,86.2315,13.7685,74.7953,8.0126,88.2429,100.0,,0.0389,0.2364,4.0587,11.013,3.9125,10.6163,,0.0389,1253.4819,29.814,7.0192,17509090073.36,70.6775,3.8767,28.8441,9.4737,9.5415,7.4535,5.4944,31.9055,31.9055,-75.9042,31.3569,30.529,31.9097,32.79,-75.905,6.2844,9.9427,0.026,9.9428,22.2083,23.9196,23.9196,3.1677,24.11
1,600519.SH,20190329,20181231,28.02,28.02,61.4548,58.6204,1.0945,10.7023,76.4067,-381818385.38,35585443648.6,67115950554.26,3.2485,2.6946,2.6635,,0.6173,5.0635,0.5244,51333353546.18,50813192623.75,51988618120.17,40235854299.3852,40235854299.3852,30965174928.12,,11473011885.36,-100601779534.7,108121679457.31,95423648494.09,-5178131040.61,128881499807.89,109426165198.4,28.024,89.8255,32.9448,87.109,18.5601,40.45,32.0299,32.0299,51.3718,91.142,8.858,10.7504,49.0025,3.3317,6.9274,-0.0046,0.0017,33.5055,66.507,65.8207,34.4643,34.46,34.8382,34.5132,25.6945,32.1365,34.4643,34.5132,26.5493,1.3615,1.4414,86.2463,13.7537,67.6409,8.902,87.5522,100.0,,0.9752,0.3615,2.6589,9.8351,2.5477,9.424,,0.9752,1257.4223,25.6945,23.9109,17202879553.7,65.8394,-1.2303,30.2953,9.7302,9.9034,7.3345,61.5218,29.9629,29.9629,86.8149,31.8515,31.2016,30.0017,30.71,86.8152,5.3616,23.3862,18.7479,23.3862,26.4263,26.4885,35.7054,19.6561,23.3862
2,600519.SH,20181029,20180930,19.69,19.69,43.7584,41.5871,1.0945,10.5854,68.3381,-195458438.34,24929011158.67,47604614536.8,3.0465,2.513,2.485,,0.4637,3.6577,0.3902,35837919227.6,35572934341.98,,28447543026.5248,28447543026.5248,22282544184.97,15570000.0,18692496142.26,-82058361113.08,97288823483.01,83855858640.1,1797497527.02,124849558191.19,99143536069.52,19.6892,81.4916,22.4656,78.9235,8.5678,28.3179,22.6458,22.6458,50.8624,91.1238,8.8762,12.5201,48.3386,5.1767,6.7301,-0.008,0.0022,34.8037,65.1963,64.7142,25.522,24.93,25.7237,25.2507,18.8611,22.9697,34.0293,33.6676,27.8568,1.3861,1.4537,84.8338,15.1662,66.1165,14.972,81.9944,99.962,0.038,0.6887,0.3861,2.4974,5.4765,2.3734,5.2047,,0.6885,1278.4091,25.1481,17.5566,17164068178.12,64.7222,3.2762,34.2826,9.1633,9.2404,6.9659,55.6449,23.7586,23.7586,23.8491,25.1458,24.8641,23.7677,24.11,23.8495,1.989,11.9385,9.314,11.9387,23.5615,23.065,3.201,21.0779,21.354
3,600519.SH,20180802,20180630,12.55,12.55,28.062,26.5856,1.0945,10.5854,61.198,-119982730.32,15884168512.98,30371684771.73,3.2262,2.5648,2.5393,,0.3205,2.3383,0.2665,22879895820.5,22713445674.32,23302600098.33,12031469633.9265,12031469633.9265,20399052968.17,15570000.0,12995734959.46,-70664435609.25,88520988074.27,74344116222.7,3679680613.45,109500209530.04,90174169131.85,12.5491,74.3495,14.118,71.7834,2.4999,18.0811,9.5777,9.5777,50.6677,90.9421,9.0579,13.9408,48.0018,6.2397,6.9796,-0.012,0.0035,35.0952,64.9048,64.4326,17.0563,15.87,17.1861,17.173,12.7938,15.6647,34.1126,34.346,25.7171,1.3462,1.431,82.9304,17.0696,68.1377,11.8682,85.2945,99.9534,0.0466,0.5311,0.3462,2.7955,7.1868,2.6495,6.8115,,0.5308,1312.9103,25.5876,11.9189,17227339611.38,64.4511,7.4423,36.5087,7.5067,7.6268,5.895,80.3458,40.067,40.067,155.7192,41.9017,41.2623,40.1154,40.82,155.719,13.4492,2.128,-3.4881,2.1281,38.2741,38.0598,46.4017,-12.1161,23.5049
4,600519.SH,20180428,20180331,6.77,6.77,14.6436,13.904,1.0945,6.54,70.4652,-3872225.25,8510778903.45,15947573487.45,3.8229,3.0696,3.0399,,0.1642,1.2093,0.1368,12177678392.96,12169072171.0,,-966053502.6718,-966053502.6718,20587051375.49,15570000.0,8652639417.43,-78558734283.3,94945405390.94,82541695225.69,3982960942.39,113802320572.81,96733809638.22,6.7719,79.5718,3.9289,77.0052,3.4577,9.6872,-0.769,-0.769,52.2756,91.3055,8.6945,12.2857,49.6353,5.1377,6.5463,-0.0188,0.0124,33.7999,66.2001,66.1533,8.8887,8.89,8.8927,9.0471,6.7881,8.2874,35.5548,36.1884,21.7665,1.2782,1.4054,83.1676,16.8324,70.6413,7.6032,87.8347,99.9468,0.0532,0.1688,0.2782,3.4168,11.5523,3.2454,10.973,,0.1687,1306.2409,27.1524,6.3245,17556420136.46,66.1721,5.1377,33.7999,8.8887,8.8927,6.7881,28.2575,39.0144,39.0144,-19.21,38.5377,39.0346,38.9309,38.43,-19.209,9.8263,9.3015,-0.1524,9.3016,32.2124,31.2393,31.2393,18.1947,26.5006
5,600519.SH,20180328,20171231,21.56,21.56,48.6092,46.3445,1.0945,6.54,63.6932,-144723372.43,27224083628.17,52277424942.2,2.9099,2.3381,2.3166,,0.6033,4.1123,0.4933,38940007533.45,38680265720.66,39806100261.85,29606965018.1472,29606965018.1472,28112305645.86,15570000.0,10462613754.14,-77406256159.2,86413243553.27,73674266561.6,-3731989597.6,106482241229.22,88226902960.02,21.5566,72.8003,17.635,70.2333,9.6587,30.7915,23.5687,23.5687,49.8239,89.7962,10.2038,13.1418,47.5026,4.8902,7.7306,-0.0913,-0.0132,36.2295,63.7705,63.3451,32.9542,32.95,33.1303,31.2511,23.4353,29.9873,32.9542,31.2511,28.6683,1.4019,1.5062,83.3884,16.6116,64.1952,9.8257,85.8843,99.9597,0.0403,0.5743,0.4019,2.3698,8.7408,2.2392,8.2592,,0.5741,1293.1034,23.4353,21.8784,17260501637.79,63.443,6.0823,37.8412,8.0719,8.1192,5.8272,-4.0193,61.9835,61.9835,-40.8483,60.474,61.7007,61.9738,60.57,-40.8483,29.106,25.4581,19.193,25.458,52.0673,49.8059,28.9207,-17.6623,25.458
6,600519.SH,20171026,20170930,15.91,15.91,35.4143,33.7928,1.0945,6.3942,58.334,-103161857.53,20087008841.63,38177029196.51,2.6611,2.1311,2.1099,,0.4563,3.0362,0.3696,28636943385.35,28453564453.29,,22527083782.6691,22527083782.6691,27484972940.92,15570000.0,11898647918.15,-69066031078.97,78682655890.42,65419673931.13,-3646357147.84,100279493192.28,81311490508.64,15.9082,67.152,18.1395,64.7283,10.4648,22.6505,17.9328,17.9328,50.3209,89.9331,10.0669,11.9049,48.0169,4.446,7.0021,-0.0883,-0.0184,35.6291,64.3709,63.9587,25.4166,24.97,25.5478,23.6409,17.7484,22.8203,33.8888,31.5212,30.8336,1.4458,1.5308,82.0185,17.9815,61.5766,11.8655,84.1211,99.9605,0.0395,0.5786,0.4458,2.1411,7.0896,1.9971,6.6127,,0.5784,1310.6796,23.6645,16.6038,17244965707.86,64.047,3.1539,34.1186,10.9177,11.0104,7.5088,86.8074,60.3831,60.3831,-29.9628,57.783,57.9602,60.3122,60.12,-29.963,30.4501,15.7242,13.1452,15.7242,61.5799,59.3972,115.8789,70.6276,22.8916
7,600519.SH,20170728,20170630,8.96,8.96,20.2945,19.2565,1.0945,6.3942,51.3821,-29015648.81,11279876578.52,21678801804.05,2.3581,1.8533,1.8289,,0.2718,1.7291,0.2185,16123769916.27,16043979114.3,16605519009.02,15969314216.2198,15969314216.2198,32514761111.31,15570000.0,8789158186.18,-64846188866.97,70117584442.49,56093870895.5,-8752317971.47,87852408856.64,72578504454.25,8.9563,60.1996,5.5209,57.7763,4.8565,12.7719,12.7124,12.7124,49.7909,89.6187,10.3813,13.9463,47.2444,5.4086,7.9715,-0.1471,-0.0126,36.7544,63.2456,62.9326,15.151,14.33,15.19,13.7529,10.3245,13.7682,30.302,27.5058,34.3234,1.5226,1.571,80.9068,19.0932,58.2455,10.0045,86.0792,99.9623,0.0377,0.1679,0.5226,1.8302,8.6041,1.697,7.9777,,0.1678,1486.3749,20.649,9.6443,17226652979.17,63.0878,4.5459,36.6726,6.6318,6.6369,4.5952,7.5945,27.8174,27.8174,-49.0198,26.3606,25.9943,27.8124,28.2,-49.0196,9.8231,3.743,6.5951,3.7431,36.0573,33.108,32.9515,-16.5701,16.3803
8,600519.SH,20170425,20170331,4.87,4.87,11.0758,10.5944,1.0945,5.6804,54.801,-25065352.62,6148184676.75,12131641408.8,2.6264,2.0578,2.0336,,0.1496,0.9385,0.12,8790152762.56,8725546141.67,,5870993494.5197,5870993494.5197,25963833613.39,15570000.0,10545428091.11,-62162905703.63,73480326070.12,59380161361.82,-2782744341.81,92999315406.69,75976577323.86,4.8743,62.9023,4.8631,60.4814,4.624,6.946,4.6736,4.6736,49.1773,91.1561,8.8439,14.6158,47.0397,6.1267,8.0658,-0.212,-0.0385,36.8224,63.1776,62.7132,8.0614,8.06,8.0944,7.5248,5.6442,7.2606,32.2456,30.0992,30.6986,1.443,1.5266,80.5938,19.4062,61.7592,11.3393,84.966,99.9574,0.0426,0.1673,0.443,2.1634,7.4931,2.0118,6.968,,0.1673,1581.7223,22.5768,5.2805,17280152668.33,62.9252,6.1267,36.8224,8.0614,8.0944,5.6442,45.9023,25.1928,25.1928,-17.8461,22.042,21.4841,25.2358,25.83,-17.8464,9.0714,8.4007,5.3519,8.4007,35.7291,33.2362,33.2362,43.7228,14.8201
9,600519.SH,20170415,20161231,13.31,13.31,31.9656,30.9364,1.0945,5.6804,49.9267,-236326287.61,16954689021.77,35452085907.87,2.436,1.8789,1.8339,,0.5175,3.1045,0.4031,24265625169.42,23923918732.72,24858113404.92,39906310883.5675,39906310883.5675,26241607093.56,15570000.0,10778818332.13,-56076143786.09,67428739260.46,53160123379.88,-2916020406.21,86677361186.85,69853457999.73,13.3087,58.0276,29.8132,55.6071,22.3009,19.0447,31.7675,31.7675,46.139,91.2251,8.7749,15.0148,44.6535,4.1864,10.4275,-0.0826,0.0307,39.5702,60.4298,59.5788,24.4385,24.44,24.7839,24.0157,17.9994,22.5394,24.4385,24.0157,32.7942,1.488,1.4562,79.8521,20.1479,59.706,12.4356,84.0982,99.958,0.042,1.0116,0.488,1.9682,6.7627,1.8206,6.2557,,1.0112,2039.6601,17.9994,16.7825,17198757435.02,59.6634,8.128,51.5459,6.0094,6.2308,4.219,40.1946,7.8606,7.8606,114.7879,9.5069,8.891,7.8389,8.57,114.7885,-5.4285,14.0289,30.8605,14.029,20.0564,18.9917,28.5926,13.4817,14.029
